"NEIGHBORHOOD_NAME","NEIGHBORHOOD_ID"
"el camp de l'arpa del clot",157
"la sagrada família",158
"el poblenou",159
"vila de gràcia",160
"el baix guinardó",161
"la nova esquerra de l'eixample",162
"camp d'en grassot i gràcia nova",163
"dreta de l'eixample",164
"el gòtic",165
"l'antiga esquerra de l'eixample",166
"la barceloneta",167
"sant pere/santa caterina",168
"el poble-sec",169
"el fort pienc",170
"el born",171
"el raval",172
"diagonal mar - la mar bella",173
"vallcarca i els penitents",174
"sants-montjuïc",175
"sant antoni",176
"el clot",177
"pedralbes",178
"guinardó",179
"sant andreu de palomar",180
"provençals del poblenou",181
"horta",182
"el besòs i el maresme",183
"la salut",184
"sant gervasi - galvany",185
"sant martí de provençals",186
"carmel",187
"sarrià",188
"el coll",189
"glòries - el parc",190
"eixample",191
"la vila olímpica",192
"vilapicina i la torre llobeta",193
"el putget i farró",194
"el congrés i els indians",195
"porta",196
"torre baró",197
"la prosperitat",198
"les tres torres",199
"sant genís dels agudells",200
"la font d'en fargues",201
"navas",202
"les corts",203
"la maternitat i sant ramon",204
"la sagrera",205
"la guineueta - canyelles",206
"la teixonera",207
"can baro",208
"sant gervasi - la bonanova",209
"ciutat vella",210
"gràcia",211
"la verneda i la pau",212
"la vall d'hebron",213
"sant martí",214
"horta-guinardó",215
"nou barris",216
"turó de la peira - can peguera",217
"montbau",218
"verdum - los roquetes",219
"la trinitat vella",220
"el bon pastor",221
"trinitat nova",222
"sarrià-sant gervasi",223
"baró de viver",224
"almenara",238
"la latina",239
"friedrichshain",240
"sol",241
"charlottenburg",242
"aluche",243
"palos do moguer",244
"castellana",245
"almagro",246
"embajadores",247
"trafalgar",248
