"NEIGHBORHOOD_NAME","NEIGHBORHOOD_ID"
"embajadores",1
"aluche",2
"malasaña",3
"justicia",4
"legazpi",5
"sol",6
"palos do moguer",7
"san blas",8
"palacio",9
"cortes",10
"la latina",11
"recoletos",12
"cuatro caminos",13
"ciudad lineal",14
"almagro",15
"arapiles",16
"fuencarral-el pardo",17
"villaverde",18
"carabanchel",19
"hortaleza",20
"goya",21
"pacifico",22
"ciudad jardin",23
"almenara",24
"fuente del berro",25
"el tréntaiseis",26
"prosperidad",27
"acacias",28
"estrella",29
"el viso",30
"valdeacederas",31
"hispanoamérica",32
"argüelles",33
"lista",34
"trafalgar",35
"moratalaz",36
"jerónimos",37
"chamberí",38
"delicias",39
"gaztambide",40
"vallehermosa",41
"ibiza",42
"villa de vallecas",43
"rios rosas",44
"barajas",45
"guindalera",46
"usera",47
"retiro",48
"castellana",49
"berruguete",50
"puente de vallecas",51
"centro",52
"arganzuela",53
"adelfas",54
"castillejos",55
"imperial",56
"tetuán",57
"moncloa",58
"castilla",59
"nueva españa",60
"vicálvaro",61
"la chopera",62
"bellas vistas",63
"atocha",64
"salamanca",65
"ciutat vella",225
"neukölln",226
"dreta de l'eixample",227
"kreuzberg",228
"pedralbes",229
"vila de gràcia",230
"rummelsburg",231
"l'antiga esquerra de l'eixample",232
"sants-montjuïc",233
"el baix guinardó",234
